Data Size,Time in millisecond
3520, 1270716007
12224, 1294783435
23300, 1322513561
18136, 1339268282
12172, 1345628990
24420, 1370374484
11668, 1378926860
8512, 1410580273
11612, 1426674442
8468, 1442531443
11472, 1459113542
8244, 1475864784
3476, 1491841382
424, 1507768804
3412, 1525183167
27700, 1551524127
23372, 1559566938
3600, 1573671281
496, 1592400567
3672, 1607358232
685272, 1655834707
3724, 1656352206
664, 1656458000
3788, 1676250741
716, 1696429582
227620, 1724939626
740, 1725334696
227840, 1753316824
732, 1753579005
4136, 1769872442
22776, 1786836697
176, 1802049655
176, 1832899351
184, 1865363569
6356, 1901059624
184, 1915366331
192, 1948769645
8052, 1967158646
192, 1981948622
184, 2015198095
192, 2048573014
200, 2081592220
188, 2115084171
6356, 2132647782
192, 2149075340
192, 2182615720
200, 2216904477
188, 2266494826
192, 2299831674
192, 2333429279
4500, 2366845749
192, 2398895241
196, 2432617860
192, 2465718823
204, 2498274411
196, 2531696732
196, 2565120031
180, 2615083862
180, 2648803702
180, 2682981383
176, 2714225985
226104, 2773253301
226596, 2776669480
4640, 2794499454
4604, 2811431784
4596, 2828290723
4584, 2845451099
4560, 2865952737
4940, 2883012240
5816, 2900779906
6152, 2916974005
6424, 2933763720
6812, 2951092263
6928, 2966593675
7016, 2983954842
6948, 3000441975
7004, 3017643963
7016, 3033719870
7132, 3051253190
7372, 3067514812
7532, 3084091239
5000, 3099677619
7596, 3117208289
4940, 3133384749
7664, 3155005919
7720, 3170877427
668, 3186907645
628, 3202689271
728, 3404188164
683000, 3473957057
