Data Size,Time in millisecond
149316, 2952
6399, 1195809164
19775, 1220745709
11816, 1235343876
19691, 1254607806
419, 1274787239
2176, 1291375784
7840, 1309616144
2175, 1325922892
403, 1340502302
2176, 1356810447
375, 1374234272
2114, 1396546010
247, 1412430475
1972, 1430602528
190, 1447038996
1981, 1461748688
205, 1479555743
1980, 1495494024
256, 1513015125
1989, 1528999440
270, 1545311240
2017, 1563162786
262, 1578493420
2025, 1596680719
274, 1618258774
280, 1629825436
2035, 1646833894
278, 1662636069
2099, 1678797559
114, 1711897978
114, 1750957777
116, 1776698633
7625, 1791832473
6271, 1808659629
10192, 1826126675
112, 1840879413
121506, 1889744329
119, 1907380783
119, 1940690369
52103, 1993840742
122274, 2014883023
49049, 2016419749
2633, 2027834841
1440, 2043609892
2675, 2058905315
1622, 2076399809
17197, 2096538054
1917, 2113407888
3176, 2128813052
2150, 2146148934
3595, 2163564323
3763, 2180240488
3791, 2196295113
3763, 2219293894
3799, 2233021628
3773, 2250372863
2677, 2265554020
3758, 2281430974
3877, 2297709181
2598, 2313734066
3953, 2330214312
3963, 2346012550
2602, 2363368133
3983, 2381634714
2717, 2395824742
509, 2412998013
355, 2428883321
376, 2631152863
120018, 2802263294
