Data Size,Time in millisecond
295680, 1274122710
6152420, 1461627074
5733580, 1527949528
6152420, 1628088652
1808768, 1636586616
23688, 1636720745
23688, 1636780074
23940, 1636833527
27216, 1636890702
30492, 1637559751
33768, 1653617695
36792, 1669663589
39564, 1686587977
42588, 1702646396
45108, 1719206247
47628, 1735455353
49896, 1751866072
51912, 1768101579
53928, 1784383185
55692, 1799954856
57456, 1816033317
58212, 1833947448
57960, 1849916151
57708, 1866317578
57456, 1884214336
56952, 1899714034
2880, 1915188711
2880, 1935750089
3136, 1951459372
3136, 2149989901
6152420, 2369480114
6152420, 6031047070
