Data Size,Time in millisecond
58611, 1072
64377, 22792407
75849, 38449933
90781, 38646156
90468, 56250590
89617, 70648419
88818, 107073689
88119, 182557877
88403, 250432611
87255, 284671764
87168, 284813177
87410, 316943374
87371, 407673059
87007, 423707339
85946, 459910284
86094, 505210373
45416, 505953215
72618, 575496937
71014, 712016873
72027, 792576439
72718, 956745458
72736, 990998934
72729, 1023297085
72661, 1258268289
66573, 1314552308
72501, 1415876873
72319, 1472146318
72105, 1516653546
72655, 1551098926
72654, 1585128365
72697, 1617658116
72428, 1649456983
72688, 1684464109
72760, 1715997205
72633, 1749500144
72302, 1782538937
72291, 1814384528
72469, 1844010984
71699, 1877702216
72555, 1914980626
72039, 1947886108
70897, 1981603665
62033, 2027029764
61996, 2077311839
61592, 2112384886
61592, 2378304916
