Data Size,Time in millisecond
9787, 3382
145, 378722
689, 457670
1194, 505928
519, 9437539
92, 10808080
601, 14089130
860, 17721811
94, 52234738
91, 52281948
332, 52295525
649, 52307437
1746, 58582119
2843, 73857701
3205, 84505219
175, 121035227
92, 121173546
429, 121195452
1079, 121215394
954, 121233754
1522, 121251213
1684, 121872964
198, 158883588
92, 159052243
490, 164677511
1288, 173046139
1792, 188427075
2075, 221004927
2108, 232709110
239, 272451617
92, 272627200
586, 272659167
1216, 272687328
1243, 272709219
1502, 293034697
1921, 299536731
213, 337750976
92, 337834826
698, 337854650
1334, 337877130
1462, 338460521
1295, 344097782
1674, 350600743
215, 391864698
92, 396583871
696, 408656070
1704, 413992551
1873, 417508667
1900, 422517346
2163, 436346183
213, 491328262
92, 494850896
590, 513086256
1501, 518201467
2125, 523656488
1915, 528298321
2162, 531105142
206, 566626359
92, 566668873
586, 566689079
1620, 568997420
1884, 581339511
1925, 588500147
2030, 593752948
331, 633990606
92, 634206262
554, 634256135
1293, 634304578
1429, 634374867
1470, 634429398
1604, 635027761
298, 681576249
92, 681672116
543, 681695631
1415, 681721703
1929, 681743778
1942, 681765636
2053, 683611471
327, 729543297
92, 729614196
507, 729639199
1236, 729665225
1674, 729688344
1686, 729709986
1990, 729732369
326, 783190629
92, 784514180
232, 792903539
336, 796313859
403, 799602289
438, 803274939
442, 805273429
281, 854120426
92, 854383554
713, 854468725
1817, 854531393
2388, 854712274
2351, 859176191
2490, 864384111
94, 909135932
92, 909314038
620, 909371117
1619, 909429255
2195, 911895099
2251, 915810558
2481, 920867901
104, 964800884
92, 964984423
1167, 965896563
3661, 969088284
1830, 971095156
1522, 984893722
2727, 989940989
104, 1027691069
92, 1029220333
241, 1030769914
413, 1032719853
373, 1035966852
369, 1039147225
392, 1041279311
97, 1076316179
92, 1078141744
1020, 1081778314
3547, 1088937170
1756, 1095153814
1348, 1101174692
2320, 1108234681
95, 1154375340
92, 1155584872
608, 1158503217
1113, 1163729102
876, 1167765159
791, 1170886814
1370, 1173015293
1753, 1212143814
1546, 1228588266
884, 1245456830
145, 1281436100
3788, 1286428488
104, 1289587327
111, 1291408495
92, 1293547381
989, 1300106984
3685, 1307028021
1517, 1313218568
1310, 1317519192
2201, 1320574215
1736, 1323545797
1374, 1337861881
856, 1339871303
92, 1344035150
309, 1347132664
52, 1348207692
1413, 1353289004
1208, 1357116042
1111, 1360332607
821, 1363033146
92, 1365880719
229, 1373415240
60, 1374101318
122, 1376941998
92, 1380350772
891, 1386489601
1997, 1393608958
807, 1398293102
1043, 1400115490
1731, 1404756336
1376, 1409317947
1239, 1412867372
971, 1416532046
92, 1418164652
209, 1419154342
55, 1419461866
95, 1421886716
92, 1422734928
840, 1425078921
1435, 1428715160
720, 1431076047
919, 1433986713
1456, 1438237586
1466, 1444001231
1095, 1448026359
961, 1458023790
92, 1461809505
193, 1466875053
55, 1468066199
106, 1498745607
92, 1500492515
761, 1504814786
1304, 1508379943
658, 1517508298
1149, 1522622519
1530, 1536063898
1435, 1541413490
1091, 1548565340
890, 1553014663
92, 1554618276
262, 1556444541
55, 1556931406
2052, 1609009848
92, 1615699448
778, 1619667222
1734, 1628435624
1033, 1632979875
1703, 1637583896
1617, 1643134327
1578, 1647604311
1209, 1651633375
1021, 1654539338
92, 1655749469
1472, 1657780421
67, 1658066667
1494, 1660108373
92, 1671670831
802, 1674670700
1584, 1681263588
911, 1689645030
1880, 1692680001
1744, 1695630161
1330, 1703626837
1129, 1710519532
1191, 1714168025
92, 1715769622
92, 1718106951
47, 1719169734
256, 1722150332
92, 1723811099
701, 1726822109
1529, 1733272422
819, 1737188592
1973, 1740953418
1758, 1744936117
1104, 1758115261
1040, 1762997315
1054, 1766190835
92, 1769018898
92, 1773875062
47, 1775714849
2825, 1791175223
92, 1793636820
767, 1796522400
1361, 1800898066
911, 1804477621
1913, 1808858707
1939, 1813391305
1021, 1820197589
1003, 1826147935
998, 1828747703
92, 1830420802
92, 1832624755
47, 1833822303
683, 1862814932
92, 1864736000
890, 1872698077
1378, 1875682937
1226, 1879217912
2100, 1882456941
2070, 1886637642
1279, 1892713696
1089, 1901172162
1118, 1905988417
92, 1908382609
92, 1911926005
47, 1913336063
601, 1916856186
92, 1919716302
910, 1922189279
1043, 1925181293
1321, 1928995325
2663, 1932619441
2661, 1939007995
1341, 1946289858
1111, 1953475502
1147, 1961923517
92, 1964438636
92, 1966798296
47, 1967853379
314, 1971184673
92, 1973843453
270, 1975732611
268, 1976689107
327, 1977518623
389, 1978814878
356, 1980498359
297, 1981371577
335, 1990519428
286, 1997240833
92, 2000319017
92, 2001776204
47, 2002116672
187, 2019183531
92, 2022259938
1137, 2025750605
1555, 2027907266
1366, 2030160422
2712, 2036439593
2745, 2049764485
1670, 2053929186
1315, 2058401594
1572, 2063764890
92, 2065366196
92, 2066697809
47, 2067064855
147, 2068727771
92, 2070461242
1104, 2075452524
1770, 2080449215
1504, 2084874616
2444, 2089242323
2814, 2094191143
1917, 2098938374
1356, 2101872016
1837, 2104513613
92, 2106457448
92, 2111029752
47, 2114664745
143, 2117524015
92, 2119501138
244, 2121662394
269, 2123368228
324, 2124463310
355, 2125699240
350, 2127392085
320, 2129119252
307, 2131226062
317, 2134423290
92, 2136559653
92, 2138385008
47, 2138865354
128, 2140696259
92, 2145195220
188, 2148317613
215, 2151343353
223, 2153277462
257, 2156584504
294, 2159688882
238, 2161888559
240, 2163132393
275, 2164015735
92, 2164886933
92, 2165822139
47, 2170637570
125, 2176743337
92, 2177972084
1003, 2180822144
1778, 2188340716
1327, 2192743891
2108, 2197579745
2347, 2204539277
1890, 2208971781
1297, 2212470170
1617, 2216951163
92, 2219770932
92, 2222381244
47, 2223635343
163, 2226271660
92, 2228560440
1251, 2230499504
1796, 2234680945
2144, 2239199614
3045, 2243175239
2430, 2249659701
2412, 2257920101
1802, 2266495377
1874, 2272803812
92, 2274932029
92, 2277668128
47, 2279021184
236, 2282059475
92, 2284050983
679, 2286029158
1276, 2288518166
1848, 2291955502
2552, 2294708319
2427, 2296993415
1316, 2301379588
1193, 2308664593
1239, 2312871873
92, 2315461573
92, 2317295483
47, 2317789904
203, 2323115371
92, 2330629488
620, 2333817560
1239, 2336761792
1570, 2340861609
1928, 2345071299
1846, 2348969461
1239, 2351466011
984, 2353700168
912, 2355216222
92, 2356007653
92, 2357049662
47, 2357305720
257, 2358596768
92, 2359347828
640, 2360894300
1149, 2363151662
1551, 2379060172
1781, 2385046107
1948, 2390083156
1648, 2393823918
1300, 2396905444
1190, 2399840144
92, 2401300310
92, 2403079263
47, 2403311459
240, 2404035723
92, 2405248294
537, 2406958734
