Data Size,Time in millisecond
348, 6269548785
49, 6273979479
49, 6275863836
43, 6276759007
1111, 6288617959
864, 6304106670
912, 6316988075
916, 6325344393
49, 6326977970
49, 6328122189
66, 6331132938
49, 6332575555
1182, 6358424862
2332, 6381484397
2403, 6403182557
1426, 6413893241
66, 6418260925
49, 6425479298
1290, 6456234673
2244, 6461637619
2644, 6466776814
2348, 6471783419
1477, 6478949737
1043, 6484382486
1077, 6488299779
1220, 6493863048
49, 6495233098
50, 6497777378
43, 6498284350
3524, 6515776836
2543, 6522266075
1846, 6536261441
1823, 6548794122
49, 6552284739
50, 6555397523
43, 6556098638
66, 6559309162
49, 6561080160
1503, 6572277933
3866, 6582769559
4237, 6589944064
4506, 6598447441
66, 6603021866
49, 6603938480
1452, 6607707174
2737, 6617673834
3054, 6623176509
2615, 6632026002
2165, 6640348024
1838, 6654504405
1684, 6663407228
1727, 6674965261
49, 6682199127
51, 6683591533
43, 6684419580
1847, 6693476287
1768, 6701841456
1448, 6709532906
49, 6710453363
49, 6711665293
43, 6712204240
66, 6715443137
49, 6716353938
1447, 6721979651
2525, 6728623365
2930, 6734092513
2845, 6750902919
2090, 6769999076
66, 6776758095
49, 6778182799
1300, 6792688024
2523, 6810048449
2504, 6825239246
2140, 6832840424
2219, 6841788479
1768, 6848245106
1750, 6855669314
1484, 6861732424
49, 6863025623
50, 6864270698
43, 6865017019
1290, 6872176651
2341, 6883156952
2334, 6887236997
49, 6888301575
49, 6890347734
43, 6891103978
66, 6894451401
49, 6896100216
1072, 6900767622
2739, 6910599224
2154, 6916284174
2224, 6935579727
1578, 6943842526
49, 6949227651
785, 6954959195
2519, 6962818891
1883, 6970845947
2214, 6977335286
1248, 6984242611
1208, 7004914168
1772, 7020071185
1610, 7027634723
49, 7028397298
49, 7029632440
43, 7030421402
66, 7033694623
1182, 7046359682
1784, 7070014373
1507, 7079943810
49, 7087366370
49, 7088894236
43, 7092700795
66, 7096057270
49, 7097141409
707, 7103509429
1935, 7108093570
1788, 7115306332
1737, 7120366340
1296, 7126583050
66, 7131044586
49, 7132662018
839, 7148558753
2625, 7167809504
2339, 7175714715
2056, 7182385085
1535, 7191576610
1210, 7199804759
2000, 7214356222
1719, 7232776317
49, 7236537023
49, 7238752109
43, 7239440995
1162, 7244389279
1812, 7250924713
1717, 7257184231
49, 7258302724
49, 7260235087
43, 7261755982
66, 7265820243
49, 7267340590
714, 7271675708
2055, 7282607360
1884, 7289456788
1971, 7295563974
1405, 7301343316
66, 7303918752
49, 7304982190
952, 7308813656
2847, 7317379453
2634, 7325200965
2427, 7334144314
1523, 7354903945
1231, 7363423535
1637, 7368946738
1629, 7373662716
49, 7374650262
49, 7376727119
43, 7377267318
1556, 7389257965
1139, 7393991403
1749, 7398692687
1619, 7403610725
49, 7404559091
49, 7406079254
43, 7406875655
66, 7411552968
49, 7412869304
866, 7416511696
2090, 7426903268
2138, 7433439903
1969, 7454931952
66, 7462889688
49, 7464745756
1035, 7470650538
2498, 7478180438
2459, 7488262081
1953, 7494322101
1520, 7498600374
1171, 7518126032
1513, 7538487385
1445, 7545718055
49, 7547104003
49, 7549904721
43, 7552219349
